Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.25,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,,2025/07/04,to-read,to-read (#129),to-read,,,,0,0
59219,"The Talisman (The Talisman, #1)",Stephen        King,"King, Stephen",Peter Straub,"=""0375507779""","=""9780375507779""",0,4.11,Random House,Hardcover,656,2001,1984,,2025/07/04,to-read,to-read (#128),to-read,,,,0,0
204316857,The Empusium: A Health Resort Horror Story,Olga Tokarczuk,"Tokarczuk, Olga",Antonia Lloyd-Jones,"=""0593712943""","=""9780593712948""",0,3.79,Riverhead Books,Hardcover,305,2024,2022,,2025/07/01,to-read,to-read (#127),to-read,,,,0,0
13608708,The Edible Woman,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,3.69,Seal Books ,Mass Market Paperback,296,1978,1969,,2025/07/01,currently-reading,currently-reading (#3),currently-reading,,,,1,0
29610266,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Ronald Meyer,"=""0241252083""","=""9780241252086""",4,4.08,Penguin Classic,Paperback,128,2016,1848,2025/06/02,2025/03/24,,,read,,,,1,0
26098210,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.29,Harper Collins,Paperback,305,2011,1937,2025/06/02,2025/05/02,,,read,,,,1,0
208580594,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""""","=""""",3,3.57,Grove Press,Paperback,224,2024,2023,2025/02/28,2025/02/24,,,read,,,,1,0
32489449,"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,"Ware, Ruth",,"=""1501151770""","=""9781501151774""",0,3.73,Simon & Schuster Canada,Paperback,352,2017,2016,,2025/04/09,currently-reading,currently-reading (#2),currently-reading,,,,1,0
26116474,A Head Full of Ghosts,Paul Tremblay,"Tremblay, Paul",,"=""0062363247""","=""9780062363244""",3,3.78,William Morrow Paperbacks,Paperback,284,2016,2015,2025/04/08,2025/04/07,,,read,,,,1,0
1553094,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis",,"=""0451520084""","=""9780451520081""",5,4.07,Signet Classics,Mass Market Paperback,238,1960,1871,2025/04/07,2025/04/05,,,read,,,,1,0
18133,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",4,3.87,Vintage International,Paperback,317,1989,1955,2025/04/05,2025/03/11,,,read,,,,1,0
18216,The Nun,Denis Diderot,"Diderot, Denis",Russell Goulbourne,"=""0192804308""","=""9780192804303""",0,3.75,Oxford University Press,Paperback,240,2005,1796,,2025/03/11,to-read,to-read (#126),to-read,,,,0,0
59964148,Devil House,John Darnielle,"Darnielle, John",,"=""0374607125""","=""9780374607128""",2,3.20,"Farrar, Straus & Giroux",Paperback,406,2022,2022,2025/03/11,2022/03/25,,,read,,,,1,0
214151601,The Unworthy,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1668051885""","=""9781668051887""",0,3.69,Scribner,Paperback,192,2025,2023,,2025/03/11,to-read,to-read (#125),to-read,,,,0,0
55448,The Crimson Labyrinth,Yusuke Kishi,"Kishi, Yusuke","Camellia Nieh, Masami Isetani","=""193223411X""","=""9781932234114""",2,3.75,Vertical,Paperback,288,2006,1999,2025/02/22,2021/12/10,,,read,,,,1,0
60033720,Ethan Frome,Edith Wharton,"Wharton, Edith","Doris Grumbach, Sarah Higginson Begley","=""""","=""""",3,3.45,,Paperback,193,1993,1911,2025/03/08,2025/03/08,,,read,,,,1,0
8497492,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",,"=""""","=""""",4,4.04,Vintage,Paperback,255,2001,1985,2025/03/09,2024/11/10,,,read,,,,1,0
26852229,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",,"=""""","=""""",4,3.92,Penguin Books,Paperback,158,2015,1962,2025/03/08,2024/11/14,,,read,,,,1,0
174157960,Beware of Pity,Stefan Zweig,"Zweig, Stefan",,"=""0241678765""","=""9780241678763""",5,4.26,Penguin,Paperback,379,2024,1939,2025/03/08,2025/03/02,,,read,,,,1,0
41015038,My Best Friend's Exorcism,Grady Hendrix,"Hendrix, Grady",,"=""""","=""""",5,3.93,Quirk Books,Kindle Edition,337,2016,2016,2021/09/16,2021/09/16,spooky,spooky (#10),read,,,,2,0
50892288,The Hollow Places,T. Kingfisher,"Kingfisher, T.",,"=""1534451129""","=""9781534451124""",2,3.79,Gallery Books,Paperback,341,2020,2020,2021/09/18,2021/09/19,spooky,spooky (#5),read,,,,1,0
31423183,Penance,Kanae Minato,"Minato, Kanae",Philip Gabriel,"=""""","=""""",3,3.82,Mulholland Books,Paperback,240,2017,2009,2021/11/20,2021/11/20,,,read,,,,1,0
6237460,Real World,Natsuo Kirino,"Kirino, Natsuo",Philip Grabriel,"=""0307387488""","=""9780307387486""",2,3.41,Vintage,Paperback,208,2009,2003,2021/12/05,2021/11/25,,,read,,,,1,0
179815,The Cage,Kenzo Kitakata,"Kitakata, Kenzo",Paul Warham,"=""1932234241""","=""9781932234244""",1,3.60,Vertical,,232,2006,1987,2022/03/19,2022/03/12,,,read,,,,1,0
130219,The Day of the Owl,Leonardo Sciascia,"Sciascia, Leonardo","Archibald Colquhoun, Anthony Oliver, George Scialabba","=""159017061X""","=""9781590170618""",2,3.73,NYRB Classics,Paperback,136,2003,1961,2025/02/24,2025/02/23,,,read,,,,1,0
28187199,The Troop,Nick Cutter,"Cutter, Nick",,"=""1501144820""","=""9781501144820""",3,3.84,Gallery Books,Paperback,355,2016,2014,2024/05/26,2021/10/24,spooky,spooky (#11),read,,,,1,0
7280651,Audition,Ryū Murakami,"Murakami, Ryū",Ralph McCarthy,"=""039333841X""","=""9780393338416""",1,3.49,W. W. Norton & Company,Paperback,191,2010,1997,2024/11/01,2022/02/04,,,read,,,,1,0
123479,"Spiral (Ring, #2)",Kōji Suzuki,"Suzuki, Kōji",Glynne Walley,"=""1932234160""","=""9781932234169""",2,3.75,Vertical,Paperback,281,2005,1995,2024/11/27,2024/11/23,spooky,spooky (#18),read,,,,1,0
38463,If Beale Street Could Talk,James Baldwin,"Baldwin, James",,"=""0307275930""","=""9780307275936""",0,4.27,Vintage,Paperback,197,2006,1974,,2025/02/24,to-read,to-read (#124),to-read,,,,0,0
762390,The Hour of the Star,Clarice Lispector,"Lispector, Clarice",Giovanni Pontiero,"=""0811211908""","=""9780811211901""",0,4.11,New Directions,Paperback,96,1992,1977,,2025/02/23,to-read,to-read (#123),to-read,,,,0,0
9646992,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,4.28,HarperCollins,Paperback,247,2011,1939,2021/10/24,2021/10/23,,,read,,,,1,0
764953,The Piano Teacher,Elfriede Jelinek,"Jelinek, Elfriede",Joachim Neugroschel,"=""1852427507""","=""9781852427504""",3,3.60,Serpent's Tail,Paperback,288,2002,1983,2025/02/22,2025/01/03,,,read,,,,1,0
823168,Blindness,José Saramago,"Saramago, José",Giovanni Pontiero,"=""1860466850""","=""9781860466854""",0,4.18,Vintage Classics,Paperback,309,2005,1995,,2025/02/18,to-read,to-read (#122),to-read,,,,0,0
36512332,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.23,Mariner Books,ebook,219,2007,1966,,2025/02/18,to-read,to-read (#121),to-read,,,,0,0
2871390,Don't Look Now,Daphne du Maurier,"Maurier, Daphne du",Patrick McGrath,"=""1590172884""","=""9781590172889""",0,4.03,New York Review Books ,Paperback,346,2008,2007,,2025/02/15,to-read,to-read (#120),to-read,,,,0,0
16171283,Hangsaman,Shirley Jackson,"Jackson, Shirley",Francine Prose,"=""0143107046""","=""9780143107040""",0,3.77,Penguin Classics,Paperback,225,2013,1951,,2025/02/15,to-read,to-read (#119),to-read,,,,0,0
37646821,Effective Java,Joshua Bloch,"Bloch, Joshua",,"=""""","=""""",0,4.51,Addison-Wesley Professional,Kindle Edition,414,2017,2001,,2025/02/09,currently-reading,currently-reading (#1),currently-reading,,,,1,0
38378,"Loop (Ring, #3)",Kōji Suzuki,"Suzuki, Kōji",Glynne Walley,"=""193223425X""","=""9781932234251""",3,3.52,Vertical,Paperback,288,2006,1998,,2024/12/23,,,read,"This is one of the most wild books I have ever read that defies all sorts of storytelling rules and makes me a little annoyed that the author is just willing to come up with any ridiculous mechanism in order to progress the story. Like okay, at one point Kaoru can magically go into the simulated Loop world and relive in entirety the events of the first two books, how convenient!<br/><br/>But, despite it all, I understand that horror requires readers to suspend disbelief, which is why I wrote 'a little annoyed' and not 'a lot annoyed'.<br/><br/>I think I am just more mad at myself for having this mindset of not being able to DNF a book because it was so clear from even the second book that what Suzuki wanted to write is not horror but rather sci-fi/philosophy. So can I even blame him when I was the one who forced myself to finish these two books even though I know I am not that interested in these genres?<br/><br/>I think I'm just trying to ask myself the question, 'do I regret finishing the series?'. And I think the answer is 'no'. Even though this book kind of unraveled the entirety of the first book as just being a simulation and there is literally not even a conclusion of HOW the virus even got introduced into Loop (just some throwaway sentences on how there's always a possibility some outside force maliciously injected some virus in Loop!), I still can't deny that, at the very least, this book is very creative.<br/><br/>Ring is one of my favorite horror books ever, and I still remember the chills I felt when it was revealed that the curse was really a virus, so it's a true testament to how much I loved the first book since it's still influencing my entire perspective on this series to be somewhat positive.",true,,2,0
24612020,The Case Against Satan (Penguin Classics),Ray Russell,"Russell, Ray",Laird Barron,"=""0143107275""","=""9780143107279""",0,3.68,Penguin Classics,Paperback,140,2015,1962,,2025/02/08,to-read,to-read (#118),to-read,,,,0,0
34273722,"The Years, Months, Days: Two Novellas",Yan Lianke,"Lianke, Yan",Carlos Rojas,"=""0802126650""","=""9780802126658""",4,4.09,Grove Press,Paperback,192,2017,1997,,2019/02/20,,,read,,,,1,0
60840449,The Haar,David Sodergren,"Sodergren, David",,"=""""","=""""",0,4.07,Paperbacks and Pugs,Kindle Edition,206,2022,2022,,2025/01/01,to-read,to-read (#117),to-read,,,,0,0
17934530,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104093""","=""9780374104092""",0,3.79,"Farrar, Straus and Giroux",Paperback,195,2014,2014,,2024/12/28,to-read,to-read (#116),to-read,,,,0,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,4.13,Penguin Classics,Paperback,253,2003,1890,,2024/12/28,to-read,to-read (#115),to-read,,,,0,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,"=""0143039989""","=""9780143039983""",0,3.81,Penguin Classics,Paperback,182,2006,1959,,2024/12/28,to-read,to-read (#114),to-read,,,,0,0
63249718,Silver Nitrate,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0593355369""","=""9780593355367""",0,3.59,Del Rey,Hardcover,323,2023,2023,,2024/12/21,to-read,to-read (#113),to-read,,,,0,0
10717333,The Exorcist,William Peter Blatty,"Blatty, William Peter",,"=""006209436X""","=""9780062094360""",5,4.21,Harper Paperbacks,Paperback,400,2011,1971,2024/10/24,2021/12/11,"spooky, changed-my-life","spooky (#4), changed-my-life (#8)",read,,,,1,0
38379,"Ring (Ring, #1)",Kōji Suzuki,"Suzuki, Kōji","Glynne Walley, Robert B. Rohmer","=""1932234411""","=""9781932234411""",5,3.79,Vertical,Paperback,282,2004,1991,2024/11/17,2021/12/01,"spooky, changed-my-life","spooky (#1), changed-my-life (#7)",read,,,,1,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,"=""0142437336""","=""9780142437339""",0,3.61,Penguin Books,Paperback,143,2003,1953,,2024/12/11,to-read,to-read (#112),to-read,,,,0,0
101124639,Bright Young Women,Jessica Knoll,"Knoll, Jessica",,"=""1501153226""","=""9781501153228""",0,3.99,S&S/ Marysue Rucci Books,Hardcover,384,2023,2023,,2024/11/28,to-read,to-read (#111),to-read,,,,0,0
25035143,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"Harris, Thomas",,"=""""","=""""",3,4.07,Dell Books,Mass Market Paperback,354,1990,1981,2024/11/26,2024/11/07,spooky,spooky (#17),read,,,,1,0
9501284,Legion,William Peter Blatty,"Blatty, William Peter",,"=""0765327139""","=""9780765327130""",3,3.68,Tor Books,Paperback,336,2011,1983,2024/11/22,2024/10/24,spooky,spooky (#19),read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",3,4.29,Modern Library,Paperback,279,2023,1813,2024/11/24,2021/10/24,,,read,,,,1,0
